clean_title,title,postings,adverts,companies,job_family,coherence,median_salary,salaried_adverts,remote_pct,rep_job_link,rep_company,summary
software engineer,Software Engineer,3932,3221,1524,engineering,0.636,155000.0,859,5.3,https://www.linkedin.com/jobs/view/senior-software-engineer-at-ust-3804730561,UST,"Job Description
Senior Software Engineer
Developer III - Software Engineering
Who We Are
Born digital, UST transforms lives through the power of technology. We walk alongside our clients and partners, embedding innovation and agility into everything they do. We help them create transformative experiences and human-centered solutions for a better world.
UST is a mission-driven group of over 39,000+ practical problem solvers and creative thinkers in over 30+ countries. Our entrepreneurial teams are empowered to innovate, act nimbly, and create a lasting and sustainable impact for our clients, their customers, and the communities in which we live.
With us, you’ll create a boundless impact that transforms your career—and the lives of people across the world.
Visit us at UST.com .
You Are
UST is searching for a Senior Software Engineer who will independently develop error-free code with high-quality validation of applications, guide other developers, and assist Lead 1 – Software Engineering.
The Opportunity
Understand the application features and component design and develop the same in accordance with user stories/requirements.
Code debug test document, and communicate product/component/feature development stages.
Develop optimized code with appropriate approaches and algorithms following standards and security guidelines independently
Effectively interact with customers and articulate their input
Optimise efficiency cost and quality by identifying opportunities for automation/process improvements and agile delivery models
Mentor Developer I – Software Engineering to become more effective in their role
Learn technology business domain and system domain as recommended by the project/account
This position description identifies the responsibilities and tasks typically associated with the performance of the position. Other relevant essential functions may be required.
What You Need
Mandatory Skill - .Net,Microservices,Asp.Net.
Candidate with good experience in Microsoft.Ne"
business analyst,Business Analyst,2137,1955,1053,product,0.681,101005.0,290,5.2,https://www.linkedin.com/jobs/view/business-analyst-at-diverse-lynx-3782508243,Diverse Lynx,"Role: Business Analyst
Mount Laurel, New Jersey
Job type: Full time
Play the role of a Business Analyst for project(s)/work stream(s) within Wealth Management
End to end delivery of book of work within the assigned project(s)/work stream(s), in agile methodology
Requirements Engineering involving analyzing problem at hand, writing user stories and other documents, walkthrough of requirements for development and testing team, assisting business in UAT and act as a single point of contact for business stakeholders
Liaise with business, other vendor teams and stakeholders
Play a key role in ensuring delivery is on time and of high quality as per agreed SLAs
Expected to be part of complex, large scale project or medium complex program
Job Details:
Domain Experience
Relevant business analysis experience within Investment Banking/ Wealth Management
Understanding of the products – Advisory, Brokerage, Banking, Credit, Insurance, Trust, etc.
KYC, AML and customer onboarding
Understanding of Trade Operations i.e. Straight through Processing, Order Management Systems etc.
Business Analysis Experience
Experience of writing user stories, business requirements, presentations to explain and discuss issues/solutions
Comfortable with Databases, Data Models, adept in writing SQL queries, working with tables, extracts
Effective stakeholder management, experience in facing senior business stakeholders, and ability to engage with functional experts from other departments of the bank
Project Execution Experience
Experience of Agile execution methods, with experience in writing user stories, working with tools like JIRA, Confluence, Odyssey
Experience running defect triages, Prioritization calls, backlog refinement, solution design meetings
Job Details:
Domain Experience
Relevant business analysis experience within Investment Banking/ Wealth Management
Understanding of the products – Advisory, Brokerage, Banking, Credit, Insurance, Trust, etc.
KYC, AML and customer onboarding
Understandi"
systems engineer,Systems Engineer,1666,1421,624,devops,0.668,130517.0,317,3.4,https://www.linkedin.com/jobs/view/experienced-systems-engineers-at-jobs-for-humanity-3792911935,Jobs for Humanity,"Job Description
Experienced Systems Engineers - Join our Team!
We are currently seeking Experienced Systems Engineers to join our team at L3Harris' Communication Systems segment. This position is based in Salt Lake City, UT.
About The Role
As a Systems Engineer, you will be responsible for designing and architecting communications systems and providing technical leadership for DoD programs. Your role will involve supporting the entire lifecycle of these systems, from development to deployment and ongoing support. This includes tasks such as customer briefings, proposal writing, requirements management, technical documentation, project management, and system integration.
Responsibilities
Lead and manage key engineering tasks for projects/programs
Analyze and assign requirements, ensuring traceability to customer specifications
Create design documentation, test plans, and procedures
Ensure technical performance and quality
Present design reviews to internal and external stakeholders
Assist in project planning, risk management, and subcontract control
Lead or assist in managing a team of design engineers
Participate in system integration, verification, and qualification events
Contribute to new business development pursuits and technical capability demonstrations
Requirements
Bachelor's Degree and at least 4 years of relevant experience (or equivalent experience)
Preferred Qualifications
Top Secret or TS/SCI security clearance
Experience in product development, particularly in a military application environment
Experience in networking systems and lab work
Leadership skills and ability to guide technical direction
Understanding of communication theory and knowledge of digital design, RF design, mechanical design, network design, or software design
Active Secret or Top Secret US DoD clearance, or ability to obtain one
Experience in LTE, 4G, and 5G systems
Strong skills in requirements management, risk management, and project planning
Excellent communication and presenta"
network engineer,Network Engineer,1426,908,574,network_infra,0.705,124800.0,153,5.8,https://www.linkedin.com/jobs/view/senior-network-engineer-at-latitude-inc-3790967208,Latitude Inc,"Duties:
Design and deploy functional networks (LAN, WLAN, WAN)
Configure and install software, servers, routers and other network devices
Monitor network performance and integrity
Resolve issues tiers of support have escalated by troubleshooting cloud and local infrastructure
Automate tasks and monitor their effectiveness
Mentor team members on technical issues
Create, oversee and test security measures (e.g. access authentication and disaster recovery)
Communicate with users when needed
Maintain complete technical documentation
Suggest improvements to network performance, capacity and scalability
Qualifications:
Industry-related experience as a Senior Network Engineer
Professional certification (e.g. CCNP, CCDP)
Solid background in network administration and architecture
In-depth understanding of communication protocols (mainly TCP/IP) and routing protocols (e.g. BGP, OSPF)
Familiarity with access control models and network security
Firewall familiarity
Knowledge of switches
Knowledge of routers
Solid understanding of network operating systems (JUNOS, Cisco IOS)
Sharp troubleshooting skills
Ability to work independently
Organizational and mentoring skills
BSc/BA in Computer Science, Engineering or a related field
Powered by JazzHR
cdYkxpDFXT
Show more
Show less"
data engineer,Data Engineer,1079,786,476,data,0.719,145250.0,195,5.4,https://www.linkedin.com/jobs/view/sr-data-engineer-at-verisk-3694894346,Verisk,"Company Description
We help the world see new possibilities and inspire change for better tomorrows. Our analytic solutions bridge content, data, and analytics to help business, people, and society become stronger, more resilient, and sustainable.
Job Description
We are looking for a savvy Data Engineer to join our growing team of analytics experts. The hire will be responsible for expanding and optimizing our data pipeline architecture. The ideal candidate is an experienced data pipeline builder and data wrangler with strong experience in handling data at scale. The Data Engineer will support our software developers, data analysts and data scientists on various data initiatives.
This role is based in our Jersey City, NJ global headquarters which has a very flexible hybrid work model with 2-3 days in-office and 2-3 days remote.
Why this role
This is a highly visible role within the enterprise data lake team. Working within our Data group and business analysts, you will be responsible for leading creation of data architecture that produces our data assets to enable our data platform. This role requires working closely with business leaders, architects, engineers, data scientists and wide range of stakeholders throughout the organization to build and execute our strategic data architecture vision.
Job Duties
Extensive understanding of SQL queries. Ability to fine tune queries based on various RDBMS performance parameters such as indexes, partitioning, Explain plans and cost optimizers.
Build the infrastructure required for optimal extraction, transformation, and loading of data from a wide variety of data sources using SQL and AWS technologies stack
Build analytics tools that utilize the data pipeline to provide actionable insights into customer acquisition, operational efficiency and other key business performance metrics.
Working with data scientists and industry leaders to understand data needs and design appropriate data models.
Participate in the design and devel"
data analyst,Data Analyst,772,612,426,data,0.675,107500.0,116,8.4,https://uk.linkedin.com/jobs/view/senior-data-analyst-at-in-technology-group-3792125708,In Technology Group,"Job Role: Senior Data Analyst
Location:
Irlam
Salary:
£60,000 DOE
The successful applicant will be responsible for developing and maintaining the data analysis strategy. This is a very exciting opportunity for someone to trailblaze Data and Data Engineering within this company.
Responsibilities:
Work closely with C-Suite and Managers to map out the roadmap
Develop and maintain the data analysis strategy for the organisation
Provide data analysis expertise to the organisation
Establish and maintain data flows and processes
Analyse large data sets to identify trends and anomalies
Develop data models to support decision making
Monitor and analyse data to identify opportunities for improvement
Develop reports and visualisations to support decision making
Design and develop databases and data warehouses
You will eventually manage a team of Data SpecialistsRequired Skills:
The succesful Senior Data Analyst will have proven experience in a similar role (6+ years)
Experience in data modelling
Experience in developing data warehouses
Expertise in SQL and database design
Power BI
Advanced Excel skills
Stakeholder experienceThe successful candidate will have excellent problem-solving skills, and interpersonal skills in order to collaborate with senior stakeholders and other members of the team.
If you are interested in this role, please apply for immediate consideration and interview, and to receive further details about the role.
Keywords: Lead Data Analyst, Data Analysis, Data Modelling, Data Warehousing, SQL, T-SQL, Database Design, Data Visualisation, Power BI, Excel, SSRS, SSIS
In Technology Group Ltd is acting as an Employment Agency in relation to this vacancy
Show more
Show less"
systems administrator,Systems Administrator,667,640,381,network_infra,0.698,95000.0,156,3.1,https://www.linkedin.com/jobs/view/system-administrator-at-united-enertech-corp-3803338483,United Enertech Corp.,"Job Summary:
At United Enertech, our success depends on IT systems. We are currently seeking an experienced Systems Administrator who is driven to grow and implement systems and networks to accommodate company growth. This person will protect our critical systems and assets, build solutions, implement new software and hardware, provide training, and assist in developing the overall IT strategy. He or she will take on challenging assignments, lead initiatives, and be responsible for results. The ideal candidate is passionate about applying skills and expertise to provide cost-effect solutions to meet business requirements.
Objectives of this role:
Maintain essential IT infrastructure, including operating systems, security tools, applications, servers, email systems, laptops, desktops, software, and hardware.
Take responsibility for projects and solutions within the larger business initiative.
Handle business-critical IT tasks and systems that allow the business to operate effectively.
Enable faster and smarter business processes and develop analytics for meaningful insights.
Work with internal and external partners to communicate project status, activities, and achievements.
Accomplish daily tasks and projects by being a team player.
Duties / Responsibilities:
Perform server administration tasks (ex: user/group, security permissions, group policies, print services); research event-log warnings and errors; and monitor resources to ensure that systems architecture components work together seamlessly.
Manage cloud services to ensure correct configuration for uptime and best practices.
Monitor systems and network health using existing management tools and respond to hardware issues as they arise; help build, test, and maintain new servers when needed.
Maintain internal infrastructure requirements, including laptop and desktop computers, servers, routers, switches, firewalls, printers, phones, security updates, support internet, intranet, LANs, WANs, and network segments."
"software engineer, fullstack","Software Engineer, Fullstack",641,239,17,engineering,0.866,179650.0,131,0.5,https://www.linkedin.com/jobs/view/lead-software-engineer-full-stack-java-python-aws-at-jobs-for-humanity-3804052789,Jobs for Humanity,"Company Description
Jobs for Humanity is partnering with Capital One to build an inclusive and just employment ecosystem. Therefore, we prioritize individuals coming from the following communities: Refugee, Neurodivergent, Single Parent, Blind or Low Vision, Deaf or Hard of Hearing, Black, Hispanic, Asian, Military Veterans, the Elderly, the LGBTQ, and Justice Impacted individuals. This position is open to candidates who reside in and have the legal right to work in the country where the job is located.
Company Name: Capital One
Job Description
Center 1 (19052), United States of America, McLean, Virginia
Lead Software Engineer, Full Stack (Java, Python, AWS)
Job Description
Do you love building and pioneering in the technology space? Do you enjoy solving complex business problems in a fast-paced, collaborative, inclusive, and iterative delivery environment? At Capital One, you'll be part of a big group of makers, breakers, doers and disruptors, who solve real problems and meet real customer needs. We are seeking Full Stack Software Engineers who are passionate about marrying data with emerging technologies. As a Capital One Lead Software Engineer, you’ll have the opportunity to be on the forefront of driving a major transformation within Capital One.
What You’ll Do:
Lead a portfolio of diverse technology projects and a team of developers with deep experience in distributed microservices, and full stack systems to create solutions that help meet regulatory needs for the company
Share your passion for staying on top of tech trends, experimenting with and learning new technologies, participating in internal & external technology communities, mentoring other members of the engineering community
Collaborate with digital product managers, and deliver robust cloud-based solutions that drive powerful experiences to help millions of Americans achieve financial empowerment
Utilize programming languages like JavaScript, Java, HTML/CSS, TypeScript, SQL, Python, and Go, Open Sou"
software developer,Software Developer,602,524,376,engineering,0.662,120125.0,78,6.5,https://www.linkedin.com/jobs/view/sr-software-developer-at-open-systems-inc-3782087959,Open Systems Inc.,"Job Title: Sr. Software Developer
Duration: 6 Months Contract with potential to extend
Location: 1701 Golf Road, Tower 3 Rolling Meadows IL 60008 (Hybrid For Now; 100% Onsite In 2 Months)
Job Description
Bachelor's or master's degree in computer science or related field required.
Candidate must have at least 5 years of proven experience working through the design, development, release-cycle delivering product to market.
Candidate should have large / enterprise application development experience.
Strong understanding of the Product Development life cycle.
Strong time management, and problem-solving skills.
Candidate should be able to manage, evaluate, and prioritize multiple projects simultaneously.
Strong communication skills in engaging global cross-functional technical teams.
A proven record for successful delivery of software systems in a similar role.
Ability and willingness to dive into software and technical issues during design/development stage as well as during troubleshooting of customer issues.
An entrepreneurial spirit with strong product and program management skills.
Excellent written and oral communication.
Possible travel within US and international 25%
Additional Requirements
Solid understanding of development, testing and integration methodologies
Knowledge of current and emerging IT products, services, and processes.
Broad understanding of programming logic concepts and application analysis and design techniques.
Ability to communicate orally and in writing with both technical and non-technical staff.
Ability to adapt to changing technology and priorities.
Strong analytical thinking skills.
Good planning, organizing, decision-making and problem-solving skills.
Thorough with careful attention to detail.
Technical Requirements
Proficient in Node.js 14.0+
Proficient in UI frameworks jQuery and react.
Proficient in .NET/.NET Core
Experience with HTML and CSS development.
Strong Object-Oriented Programming and Development skills
Hands on of algorithm c"
"software engineer, backend","Software Engineer, Backend",596,212,23,engineering,0.855,178500.0,100,0.2,https://www.linkedin.com/jobs/view/senior-software-engineer-backend-golang-at-jobs-for-humanity-3792324448,Jobs for Humanity,"Company Description
Jobs for Humanity is partnering with Capital One to build an inclusive and just employment ecosystem. Therefore, we prioritize individuals coming from the following communities: Refugee, Neurodivergent, Single Parent, Blind or Low Vision, Deaf or Hard of Hearing, Black, Hispanic, Asian, Military Veterans, the Elderly, the LGBTQ, and Justice Impacted individuals. This position is open to candidates who reside in and have the legal right to work in the country where the job is located.
Company Name: Capital One
Job Description
Location: McLean, VA, United States of America, McLean, Virginia Job Title: Senior Software Engineer, Backend (Golang) Are you passionate about technology and enjoy solving complex business problems in a fast-paced, inclusive, and collaborative environment? At Capital One, we are a diverse group of problem solvers dedicated to meeting the real needs of our customers. We are looking for Back End Software Engineers who are passionate about using data and emerging technologies. As a Capital One Software Engineer, you will play a key role in driving a major transformation within Capital One. What You'll Do: - Collaborate with Agile teams to design, develop, test, implement, and support technical solutions using full-stack development tools and technologies. - Stay up-to-date with tech trends, experiment with new technologies, participate in technology communities, and mentor other engineers. - Work with digital product managers to deliver cloud-based solutions that provide powerful experiences for millions of Americans to achieve financial empowerment. - Utilize programming languages like Java, Python, SQL, Node, Go, and Scala, as well as open source databases and container orchestration services. Basic Qualifications: - Bachelor's Degree - At least 4 years of professional software engineering experience (Internship experience does not apply) Preferred Qualifications: - 5+ years of experience in one of the following: Java, Scala,"
