skill_a,skill_b,count
Python,SQL,6495
Java,Python,5482
Agile / Scrum,Python,4902
Agile / Scrum,SQL,4892
AWS,Python,4866
Agile / Scrum,Java,4520
Java,SQL,4329
Docker,Kubernetes,4133
AWS,Azure,4062
AWS,Agile / Scrum,4003
Data Analysis,SQL,3846
AWS,Java,3806
AWS,SQL,3755
Azure,Python,3733
HTML,JavaScript,3718
Machine Learning,Python,3501
Kubernetes,Python,3449
Azure,SQL,3421
Docker,Python,3324
Agile / Scrum,Azure,3259
Agile / Scrum,JavaScript,3254
Data Analysis,Python,3213
AWS,Kubernetes,3160
AWS,Docker,3111
Go,Python,3057
JavaScript,SQL,3029
Java,JavaScript,2996
AWS,GCP,2920
C++,Python,2914
Azure,GCP,2798
JavaScript,Python,2685
Java,Kubernetes,2670
Docker,Java,2662
DevOps,Python,2638
NoSQL,SQL,2626
NoSQL,Python,2600
Agile / Scrum,DevOps,2563
CSS,HTML,2552
Agile / Scrum,Docker,2535
Docker,SQL,2474
Azure,Java,2464
Agile / Scrum,Kubernetes,2441
CSS,JavaScript,2439
CI/CD,Python,2432
Data Analysis,Data Visualization,2375
Azure,DevOps,2366
Kubernetes,SQL,2360
Java,NoSQL,2354
Linux,Python,2347
JavaScript,React,2230
GCP,Python,2209
AWS,NoSQL,2171
Agile / Scrum,NoSQL,2164
AWS,JavaScript,2153
Agile / Scrum,HTML,2147
Data Visualization,SQL,2133
HTML,SQL,2108
CI/CD,DevOps,2107
Agile / Scrum,CI/CD,2102
Go,Java,2093
Go,Kubernetes,2088
JavaScript,TypeScript,2065
AWS,Go,2042
Azure,Kubernetes,2037
Azure,JavaScript,1988
AWS,DevOps,1969
Agile / Scrum,Data Analysis,1951
Linux,Windows,1930
Machine Learning,SQL,1923
Agile / Scrum,Jira,1918
DevOps,SQL,1916
SQL,Tableau,1909
Python,Spark,1901
Azure,Docker,1869
Java,Microservices,1845
Docker,Go,1843
Git,Python,1837
Agile / Scrum,Git,1835
C++,Java,1817
HTML,Java,1807
Python,Scala,1780
Data Visualization,Python,1777
Power BI,SQL,1770
C#,SQL,1751
Data Analysis,Machine Learning,1748
Kubernetes,NoSQL,1739
AWS,CI/CD,1738
Docker,JavaScript,1713
Docker,NoSQL,1701
Go,SQL,1696
CI/CD,Kubernetes,1679
Agile / Scrum,Microservices,1669
Git,SQL,1668
GCP,Java,1666
Agile / Scrum,Go,1646
Angular,JavaScript,1645
Data Analysis,Tableau,1642
CI/CD,Java,1635
DevOps,Kubernetes,1620
Python,R,1614
Agile / Scrum,TypeScript,1614
AWS,Microservices,1610
AWS,Node.js,1603
Agile / Scrum,GCP,1594
Python,Terraform,1588
DevOps,Java,1582
Java,Scala,1581
JavaScript,Kubernetes,1561
Agile / Scrum,Node.js,1556
GCP,SQL,1549
Active Directory,Windows,1532
Data Analysis,Power BI,1530
Agile / Scrum,React,1526
CI/CD,SQL,1522
Azure,CI/CD,1515
AWS,TypeScript,1506
CI/CD,Docker,1501
Kubernetes,Microservices,1488
Data Modeling,SQL,1485
HTML,React,1481
Git,JavaScript,1467
Python,Tableau,1451
Azure,NoSQL,1446
Git,Java,1443
DevOps,Docker,1443
Microservices,SQL,1440
Agile / Scrum,REST API,1434
Java,Machine Learning,1434
Python,Windows,1431
Confluence,Jira,1422
Agile / Scrum,Unit Testing,1419
Ansible,Python,1413
JavaScript,Node.js,1410
HTML,TypeScript,1402
JavaScript,REST API,1399
Java,Node.js,1399
Microservices,Python,1397
C++,Linux,1394
Agile / Scrum,Machine Learning,1393
AWS,Git,1388
Data Warehousing,SQL,1381
AWS,Machine Learning,1379
Java,Linux,1374
R,SQL,1363
HTML,Python,1359
Agile / Scrum,Linux,1357
AWS,React,1352
SQL,Spark,1349
Docker,Microservices,1347
Node.js,Python,1345
React,TypeScript,1341
Data Visualization,Tableau,1340
Jenkins,Python,1334
CI/CD,Git,1332
Hadoop,Python,1326
Azure,Windows,1310
GCP,Kubernetes,1308
Docker,Git,1299
Java,REST API,1294
AWS,HTML,1292
Kafka,Python,1291
C#,JavaScript,1279
REST API,SQL,1274
Agile / Scrum,Angular,1273
Java,Jenkins,1264
Java,React,1260
Angular,Java,1250
Jira,SQL,1249
SQL,Scala,1248
Node.js,SQL,1239
Azure,HTML,1237
Java,TypeScript,1233
Agile / Scrum,CSS,1230
Docker,Node.js,1230
PowerShell,Python,1229
Java,Kafka,1226
CI/CD,Jenkins,1223
Node.js,React,1220
Angular,HTML,1217
Angular,React,1217
Power BI,Tableau,1216
DevOps,Git,1215
CI/CD,JavaScript,1209
Agile / Scrum,C++,1208
SQL,TypeScript,1205
Docker,GCP,1204
Python,TypeScript,1204
Docker,TypeScript,1201
VMware,Windows,1199
JavaScript,NoSQL,1198
Agile / Scrum,Jenkins,1197
AWS,Scala,1195
Kubernetes,Terraform,1189
Git,Jira,1189
Go,NoSQL,1188
Docker,Jenkins,1184
Big Data,Python,1182
Azure,Machine Learning,1181
Linux,SQL,1181
Azure,Microservices,1178
Hadoop,Spark,1174
Angular,SQL,1171
AWS,Terraform,1168
Kubernetes,TypeScript,1164
AWS,Linux,1161
Data Analysis,R,1160
Data Visualization,Power BI,1155
DevOps,JavaScript,1154
Data Analysis,Excel,1153
Git,Jenkins,1152
Oracle,SQL,1152
Kubernetes,Node.js,1140
CSS,SQL,1133
DevOps,Jenkins,1128
Agile / Scrum,C#,1126
Go,JavaScript,1120
Java,Spark,1117
React,SQL,1114
Docker,HTML,1114
Azure,Git,1113
Jira,Python,1112
Ansible,Terraform,1111
Agile / Scrum,Scala,1105
SQL,Unit Testing,1086
Data Warehousing,Python,1086
JavaScript,Microservices,1082
Python,React,1079
Git,Kubernetes,1073
Microservices,NoSQL,1072
Jenkins,Kubernetes,1068
Data Analysis,Data Modeling,1064
AWS,Jenkins,1062
Power BI,Python,1058
PowerShell,Windows,1052
CSS,React,1045
Azure,TypeScript,1042
Azure,Go,1042
Hadoop,SQL,1032
Docker,React,1031
MySQL,Python,1031
AWS,Spark,1031
.NET,C#,1024
Java,Spring,1019
Data Visualization,Machine Learning,1019
AWS,REST API,1014
HTML,Kubernetes,1006
Go,TypeScript,1005
Azure,Data Analysis,1004
DevOps,Terraform,1003
C#,Python,1002
Bash,Python,1002
Docker,Terraform,997
Python,Snowflake,996
SQL,Windows,996
Data Modeling,Python,993
Data Analysis,Java,991
Kubernetes,Linux,990
GCP,NoSQL,986
Azure,C#,986
Kafka,SQL,985
ETL,SQL,980
Agile / Scrum,Confluence,973
Git,Linux,973
Python,REST API,972
AWS,Kafka,970
Deep Learning,Machine Learning,967
NoSQL,Scala,966
Scala,Spark,966
CISSP,Cybersecurity,964
Kubernetes,React,962
Node.js,TypeScript,959
AWS,Data Analysis,957
C,C++,945
Data Analysis,Data Warehousing,944
Git,HTML,942
Azure,Node.js,942
DevOps,Linux,940
Python,TensorFlow,936
CSS,Java,933
Excel,SQL,931
Java,Jira,930
Azure,REST API,930
Jenkins,SQL,929
CI/CD,REST API,927
Machine Learning,Spark,927
Docker,Linux,919
Ansible,Kubernetes,911
GCP,JavaScript,910
C++,SQL,909
.NET,SQL,907
C#,Java,906
CI/CD,Microservices,903
Java,Unit Testing,902
Azure,Linux,900
SQL,Snowflake,897
Kafka,Spark,894
Data Visualization,R,889
Git,REST API,887
PostgreSQL,Python,885
Agile / Scrum,Kanban,883
CI/CD,Terraform,883
AWS,Angular,883
Go,Node.js,881
C++,Machine Learning,877
Azure,React,875
AWS,Jira,873
Cybersecurity,Risk Management,872
Machine Learning,TensorFlow,871
Hadoop,Java,866
Ansible,DevOps,864
GCP,Go,861
Angular,Azure,861
Kafka,Kubernetes,859
Big Data,SQL,856
HTML,REST API,854
MySQL,SQL,851
HTML,NoSQL,849
PostgreSQL,SQL,849
NoSQL,Node.js,847
JavaScript,Unit Testing,845
Git,React,842
PyTorch,Python,841
PyTorch,TensorFlow,841
Deep Learning,Python,840
Java,MySQL,838
Agile / Scrum,Spark,836
Angular,TypeScript,835
Azure,Spark,835
Data Pipeline,Python,834
Go,Microservices,831
REST API,React,829
NoSQL,Spark,823
R,Tableau,816
Azure,Terraform,809
Kafka,NoSQL,807
AWS,PostgreSQL,807
DevOps,Go,802
DevOps,Microservices,798
Azure,Jenkins,797
C#,DevOps,795
Machine Learning,PyTorch,792
Ansible,Docker,788
AWS,MySQL,786
DevOps,Jira,786
HTML,Node.js,786
Active Directory,Azure,785
Machine Learning,R,785
C#,HTML,783
Azure,Scala,782
Python,Unit Testing,781
GCP,Machine Learning,781
Agile / Scrum,Kafka,769
Big Data,Machine Learning,764
CI/CD,React,762
Cybersecurity,Incident Response,762
C++,Git,759
AWS,Hadoop,758
HTML,Microservices,751
Data Modeling,Data Warehousing,751
Angular,Python,749
Hadoop,NoSQL,746
Microservices,REST API,745
Go,Scala,742
C#,C++,741
Linux,Unix,738
NoSQL,TypeScript,738
DevOps,GCP,735
JavaScript,MySQL,734
Machine Learning,NoSQL,734
Microservices,Node.js,734
Angular,CSS,731
Java,Spring Boot,730
Azure,PowerShell,730
CI/CD,Linux,729
Docker,REST API,725
AWS,C++,716
Go,HTML,715
JavaScript,jQuery,715
JavaScript,PostgreSQL,715
Hadoop,Kafka,714
Big Data,Spark,714
Go,Terraform,713
MATLAB,Python,713
Angular,Docker,713
Microservices,React,712
Data Modeling,Data Visualization,710
Big Data,Java,705
Data Governance,SQL,700
Agile / Scrum,Windows,700
AWS,Ansible,697
CI/CD,Go,695
Hive,Python,692
DevOps,Windows,692
Azure,Power BI,691
AWS,Windows,689
Microservices,TypeScript,688
DevOps,REST API,688
Active Directory,VMware,687
GCP,Microservices,680
CI/CD,Unit Testing,680
CI/CD,GCP,679
GitHub,Python,679
Hadoop,Scala,678
Cybersecurity,Windows,677
Angular,REST API,676
JavaScript,Linux,675
Hadoop,Machine Learning,675
JavaScript,Jenkins,675
Hadoop,Hive,672
DevOps,Machine Learning,669
CSS,Git,668
Java,Oracle,668
Java,PostgreSQL,667
Docker,Kafka,667
Machine Learning,NLP,666
CSS,Python,665
Docker,PostgreSQL,665
Azure,Data Warehousing,664
Angular,Node.js,664
Jenkins,Terraform,662
GitLab,Python,660
ETL,Python,658
Angular,Microservices,658
Python,Ruby,658
Kubernetes,PostgreSQL,658
Confluence,Python,654
Kubernetes,Scala,654
C#,Git,653
Machine Learning,Scala,651
AWS,GitHub,650
Ansible,Jenkins,649
.NET,JavaScript,649
Data Analysis,Data Governance,648
Azure,Jira,648
GitHub,Kubernetes,646
Jenkins,Jira,645
Kafka,Microservices,644
MySQL,PostgreSQL,644
Kubernetes,Machine Learning,643
Agile / Scrum,MySQL,642
Docker,Machine Learning,641
Azure,Kafka,641
Kubernetes,REST API,641
C++,Docker,641
Docker,Scala,640
Python,Redshift,639
DevOps,HTML,637
CSS,TypeScript,637
Agile / Scrum,GitHub,637
Data Pipeline,SQL,636
AWS,Distributed Systems,636
Angular,Git,634
Angular,Kubernetes,633
DevOps,NoSQL,630
Machine Learning,Tableau,630
Agile / Scrum,Data Visualization,629
Java,Windows,629
Ansible,CI/CD,628
Ansible,Linux,628
Data Visualization,Data Warehousing,628
Distributed Systems,Python,628
Jira,Linux,625
Node.js,REST API,622
Python,Unix,621
REST API,Unit Testing,621
GCP,Node.js,618
Distributed Systems,Kubernetes,618
GCP,TypeScript,616
Azure,CSS,615
Cassandra,Python,614
AWS,Snowflake,614
DevOps,React,612
C++,JavaScript,611
CI/CD,NoSQL,611
Big Data,Hadoop,611
Agile / Scrum,PostgreSQL,610
Jenkins,Linux,610
CI/CD,Kafka,609
AWS,Big Data,609
Azure,VMware,607
GCP,Scala,605
Distributed Systems,Java,604
JavaScript,Jira,604
Angular,C#,604
Azure,Cybersecurity,601
CI/CD,Node.js,599
MongoDB,SQL,598
AWS,CSS,596
SQL,XML,595
CSS,REST API,595
Git,Microservices,593
Agile / Scrum,Spring,593
JavaScript,XML,593
PostgreSQL,React,593
DevOps,Unit Testing,593
AWS,Unit Testing,592
Data Warehousing,Machine Learning,591
Snowflake,Spark,591
GCP,HTML,590
Docker,Jira,589
Hive,Spark,589
Node.js,Scala,588
CI/CD,Jira,586
Angular,CI/CD,585
NLP,Python,582
Docker,GitHub,581
MongoDB,Python,581
Agile / Scrum,Big Data,580
Cassandra,Kafka,580
CI/CD,GitHub,579
DevOps,PowerShell,578
Excel,Tableau,576
Jira,Kubernetes,576
Azure,Unit Testing,575
Confluence,Git,574
C,Python,574
Power BI,R,572
Azure,C++,572
Ansible,Azure,570
MySQL,NoSQL,570
AWS,C#,569
Big Data,Data Analysis,569
Azure,Snowflake,569
Cybersecurity,Python,569
C++,Windows,569
Agile / Scrum,Oracle,568
Data Modeling,Power BI,568
Git,PostgreSQL,568
JSON,JavaScript,567
HTML,jQuery,565
Cassandra,Java,564
JSON,XML,564
Azure,Hadoop,563
Agile / Scrum,Data Warehousing,562
Data Warehousing,Snowflake,561
Angular,DevOps,561
Git,Unit Testing,561
Kafka,Scala,560
CI/CD,TypeScript,559
Data Warehousing,Spark,558
SQL,Unix,558
CI/CD,HTML,558
Agile / Scrum,Hadoop,557
C++,Kubernetes,556
Confluence,SQL,556
Agile / Scrum,Data Modeling,555
.NET,Agile / Scrum,554
DevOps,GitHub,553
JavaScript,MongoDB,553
AWS,Data Warehousing,551
Java,Terraform,550
Cassandra,NoSQL,549
SQL,Terraform,548
REST API,TypeScript,548
Azure,Data Modeling,547
GCP,Git,547
Go,React,546
GCP,Spark,545
C++,CI/CD,544
Agile / Scrum,Terraform,543
Agile / Scrum,Risk Management,543
Java,Snowflake,543
C#,CI/CD,542
C#,CSS,541
Python,VMware,540
Deep Learning,TensorFlow,540
Agile / Scrum,Software Architecture,539
Linux,VMware,539
Data Visualization,Excel,539
GitHub,SQL,538
CI/CD,GitLab,537
Airflow,Python,537
JavaScript,PHP,535
Data Analysis,Spark,534
Bash,Linux,533
JSON,REST API,530
Excel,Power BI,530
Java,Unix,529
C++,Data Analysis,528
Azure,MySQL,527
Distributed Systems,Go,527
Data Warehousing,Java,524
Java,XML,522
Git,Node.js,520
Databricks,Python,519
Data Analysis,JavaScript,512
Git,NoSQL,512
Confluence,Java,511
NoSQL,React,510
HTML,Unit Testing,509
Deep Learning,PyTorch,509
Data Analysis,DevOps,509
Data Analysis,Statistical Analysis,508
.NET,Azure,505
MongoDB,PostgreSQL,505
CI/CD,Machine Learning,505
Hive,SQL,504
Jenkins,REST API,503
Data Analysis,NoSQL,503
Big Data,Scala,501
CI/CD,PostgreSQL,500
Firewalls,Windows,500
AWS,MongoDB,500
Agile / Scrum,JSON,499
Linux,Terraform,498
AWS,Cassandra,497
C++,DevOps,496
Azure,Big Data,496
Data Analysis,Risk Management,495
CSS,Docker,495
Data Warehousing,Power BI,493
C#,Unit Testing,492
Hive,Kafka,490
Go,Linux,490
C++,Jira,489
Oracle,Python,488
Azure,PostgreSQL,488
HTML,MySQL,487
Data Governance,Data Modeling,487
Azure,Data Visualization,485
Ansible,Go,485
Data Analysis,ETL,484
Kafka,Snowflake,484
Git,TypeScript,483
CSS,Node.js,483
GitHub,Jenkins,483
Cassandra,Hadoop,482
Java,MongoDB,482
Data Warehousing,Hadoop,481
Data Warehousing,NoSQL,481
Active Directory,PowerShell,480
Agile / Scrum,XML,480
C++,MATLAB,479
HTML,XML,478
CI/CD,Windows,477
Data Governance,Python,477
Agile / Scrum,Snowflake,477
C#,React,476
Kubernetes,Spark,475
GitHub,Java,475
Data Warehousing,Tableau,474
Redshift,SQL,473
MongoDB,React,473
Redshift,Snowflake,473
JavaScript,Machine Learning,472
Big Data,Data Warehousing,472
Kafka,MySQL,471
Azure,Firewalls,471
HTML,PostgreSQL,470
CSS,DevOps,470
SQL,Spring,468
Go,PowerShell,467
Big Data,NoSQL,466
Data Modeling,Tableau,466
JSON,SQL,466
Angular,NoSQL,466
Agile / Scrum,Stakeholder Mgmt,465
React,Unit Testing,464
GCP,Linux,464
JavaScript,Windows,464
Azure,Databricks,464
Docker,MySQL,463
Agile / Scrum,Power BI,462
Spring,Spring Boot,462
REST API,XML,461
Bash,Kubernetes,461
C#,REST API,461
NoSQL,REST API,460
AWS,Confluence,460
Data Analysis,Stakeholder Mgmt,459
GitLab,Kubernetes,459
NoSQL,Snowflake,459
PowerShell,Terraform,458
Linux,NoSQL,456
Docker,GitLab,456
AWS,Data Visualization,455
Hive,Java,454
DevOps,Node.js,453
Linux,Machine Learning,453
PowerShell,VMware,453
Hive,NoSQL,452
Ansible,Java,452
Data Modeling,ETL,452
Excel,Python,452
Hadoop,MySQL,451
Data Governance,Data Visualization,451
AWS,Hive,451
Data Pipeline,Spark,449
C#,Windows,449
MySQL,React,447
Data Warehousing,Scala,446
Redshift,Spark,445
Azure,GitHub,445
JavaScript,Spring,445
C++,Go,444
Microservices,Unit Testing,444
C#,Jira,444
Python,Splunk,442
.NET,DevOps,442
GCP,React,442
Scala,Snowflake,441
Bash,DevOps,440
Agile / Scrum,MongoDB,440
Machine Learning,Power BI,439
Git,MySQL,439
Data Analysis,Hadoop,438
Data Analysis,GCP,438
Cassandra,SQL,438
Git,Machine Learning,437
MongoDB,MySQL,436
GCP,Terraform,435
Hadoop,Snowflake,435
AWS,Redshift,435
Docker,Spark,434
Agile / Scrum,Ansible,433
Agile / Scrum,Distributed Systems,432
Kubernetes,MySQL,432
Databricks,SQL,431
Data Analysis,Kubernetes,431
Data Modeling,Machine Learning,431
Data Pipeline,Machine Learning,431
Agile / Scrum,Tableau,430
Data Governance,Data Warehousing,429
Ansible,PowerShell,429
Ansible,Git,428
AWS,Cybersecurity,426
Kafka,Machine Learning,425
Data Analysis,Data Pipeline,425
Distributed Systems,Docker,424
Cassandra,Spark,424
Python,Software Architecture,423
MongoDB,NoSQL,421
Agile / Scrum,Cybersecurity,420
Cassandra,MySQL,420
Data Analysis,Jira,420
Java,Kotlin,420
Linux,PowerShell,420
Cybersecurity,Linux,419
JavaScript,Oracle,418
JSON,Java,418
Data Warehousing,ETL,417
Bash,Docker,416
Jenkins,Microservices,416
Cybersecurity,Data Analysis,416
Docker,Unit Testing,415
Pandas,Python,413
Hive,Scala,413
Git,Terraform,411
GitHub,Jira,410
Python,Statistical Analysis,410
Docker,MongoDB,410
.NET,HTML,410
AWS,Data Modeling,410
Unix,Windows,409
Airflow,SQL,409
CSS,Kubernetes,409
Java,Redshift,409
Git,Windows,408
Microservices,Scala,407
GCP,Kafka,407
Kubernetes,Windows,407
AWS,Unix,406
REST API,Spring,406
GitLab,Jenkins,405
Jira,Windows,405
GCP,Jenkins,405
GCP,Hadoop,404
CSS,jQuery,404
SQL,jQuery,402
Azure,MongoDB,402
Agile / Scrum,Prototyping,402
Data Analysis,Docker,400
Azure,Data Pipeline,400
AWS,Data Pipeline,400
SQL,SSIS,399
C,Linux,399
Kubernetes,MongoDB,398
PowerShell,SQL,396
AWS,Bash,396
Angular,PostgreSQL,396
MySQL,Spark,396
Confluence,Docker,395
