job_family,skill_name,demand_count,demand_pct
ai,Machine Learning,1956,73.42
ai,Python,1907,71.58
ai,Data Analysis,989,37.12
ai,Deep Learning,875,32.85
ai,TensorFlow,805,30.22
ai,SQL,736,27.63
ai,PyTorch,732,27.48
ai,R,532,19.97
ai,NLP,508,19.07
ai,AWS,465,17.45
ai,Java,455,17.08
ai,C++,441,16.55
ai,Azure,429,16.1
ai,Data Visualization,416,15.62
ai,Spark,416,15.62
ai,Agile / Scrum,378,14.19
ai,GCP,322,12.09
ai,Scala,285,10.7
ai,LLMs / GenAI,266,9.98
ai,Docker,256,9.61
ai,Hadoop,249,9.35
ai,Statistical Analysis,237,8.9
ai,Kubernetes,235,8.82
ai,Big Data,227,8.52
ai,Pandas,208,7.81
ai,NumPy,204,7.66
ai,Data Pipeline,201,7.55
ai,Tableau,196,7.36
ai,Linux,181,6.79
ai,Databricks,164,6.16
ai,MATLAB,162,6.08
ai,CI/CD,160,6.01
ai,Git,158,5.93
ai,NoSQL,147,5.52
ai,DevOps,130,4.88
ai,Jupyter,124,4.65
ai,MLflow,118,4.43
ai,Power BI,107,4.02
ai,Linear,103,3.87
ai,Data Modeling,102,3.83
ai,SAS,92,3.45
ai,Go,86,3.23
ai,Hive,79,2.97
ai,Distributed Systems,79,2.97
ai,Data Warehousing,70,2.63
ai,GitHub,66,2.48
ai,Airflow,64,2.4
ai,Snowflake,63,2.36
ai,SageMaker,60,2.25
ai,Jira,58,2.18
ai,Excel,57,2.14
ai,Kafka,53,1.99
ai,Unix,51,1.91
ai,A/B Testing,50,1.88
ai,Data Governance,49,1.84
ai,Risk Management,46,1.73
ai,JavaScript,44,1.65
ai,XGBoost,42,1.58
ai,ETL,41,1.54
ai,C,41,1.54
ai,Prototyping,38,1.43
ai,Confluence,38,1.43
ai,Windows,37,1.39
ai,PostgreSQL,37,1.39
ai,Kanban,36,1.35
ai,Bash,35,1.31
ai,Microservices,34,1.28
ai,System Design,33,1.24
ai,Software Architecture,33,1.24
ai,GitLab,31,1.16
ai,MySQL,30,1.13
ai,Jenkins,30,1.13
ai,Kotlin,28,1.05
ai,LangChain,28,1.05
ai,scikit-learn,26,0.98
ai,REST API,25,0.94
ai,Django,24,0.9
ai,C#,24,0.9
ai,Stakeholder Mgmt,22,0.83
