job_family,skill_name,jobs_mentioning,companies,jobs_with_salary,median_salary,salary_premium_pct
ai,Fine-tuning,73,19,39,192500,26.1
ai,Scala,156,26,87,180368,18.1
ai,NLP,248,38,84,176750,15.8
ai,Hadoop,128,20,30,176250,15.4
ai,TensorFlow,416,72,141,175000,14.6
ai,PyTorch,415,71,133,175000,14.6
ai,Pandas,91,22,28,175000,14.6
ai,Spark,260,43,81,171254,12.2
ai,Machine Learning,1180,160,330,171252,12.2
ai,scikit-learn,165,35,71,171250,12.2
ai,Databricks,81,15,26,169850,11.2
ai,Data Visualization,212,36,44,169495,11.0
ai,C++,303,46,75,168750,10.5
ai,Deep Learning,449,76,125,167500,9.7
ai,Snowflake,47,17,26,167500,9.7
ai,Big Data,228,29,61,167319,9.6
ai,Azure,222,41,73,167319,9.6
ai,Tableau,182,30,44,164722,7.9
ai,Kubernetes,105,20,25,164419,7.7
ai,Python,1205,165,347,163838,7.3
ai,AWS,361,60,105,163541,7.1
ai,Java,281,38,101,163541,7.1
ai,SQL,524,92,142,160600,5.2
ai,Linear,94,28,32,150075,-1.7
ai,Statistical Analysis,201,32,47,143888,-5.8
ai,Data Analysis,463,88,128,133525,-12.5
ai,MATLAB,133,24,34,130517,-14.5
ai,Excel,130,29,54,120500,-21.1
data,Kafka,374,34,92,164156,46.6
data,Hive,289,24,71,164150,46.6
data,Spark,714,65,139,162700,45.3
data,Scala,426,32,100,160680,43.5
data,Airflow,290,47,86,159264,42.2
data,Kubernetes,129,22,29,158700,41.7
data,Java,539,39,104,151000,34.8
data,Hadoop,411,43,98,150000,33.9
data,MySQL,243,29,68,147680,31.9
data,GCP,249,27,42,147500,31.7
data,AWS,1018,96,193,146900,31.2
data,NoSQL,416,42,101,147000,31.2
data,Redshift,443,48,100,146881,31.1
data,Data Pipeline,253,31,51,146442,30.8
data,Docker,111,20,27,146221,30.6
data,Databricks,352,45,60,145080,29.5
data,CI/CD,249,32,37,145040,29.5
data,Big Data,693,76,163,144938,29.4
data,Git,185,27,30,140400,25.4
data,DevOps,305,36,46,139375,24.4
data,Data Warehousing,755,79,146,139050,24.2
data,Snowflake,722,91,160,138840,24.0
data,Machine Learning,544,72,120,135750,21.2
data,dbt,155,30,32,135570,21.0
data,Data Governance,505,75,93,133850,19.5
data,Data Modeling,754,117,158,132367,18.2
data,Azure,947,87,169,130600,16.6
data,ETL,1380,139,205,127500,13.8
data,Looker,150,23,29,126000,12.5
data,Python,1945,221,393,125840,12.4
data,Unix,259,16,65,124150,10.8
data,Oracle,422,52,61,118784,6.1
data,Informatica,232,19,25,117968,5.3
data,SQL,2908,302,504,115000,2.7
data,Salesforce,110,23,28,114400,2.1
data,Data Visualization,713,95,122,112500,0.4
data,Tableau,1088,146,198,111900,-0.1
data,Linux,242,18,64,111050,-0.8
data,SAP,219,33,42,109564,-2.2
data,Data Analysis,1238,177,239,109000,-2.7
data,Statistical Analysis,205,33,35,105200,-6.1
data,SSIS,271,30,36,101249,-9.6
data,Power BI,1034,126,166,100866,-9.9
data,SAS,204,27,33,96200,-14.1
data,Excel,966,146,177,91600,-18.2
database,Oracle,236,25,27,132500,3.9
database,SQL,407,45,52,130000,2.0
design_ux,Prototyping,291,51,64,145000,1.2
design_ux,User Research,322,59,78,140000,-2.3
design_ux,Figma,467,83,104,135000,-5.8
design_ux,JavaScript,136,29,32,135000,-5.8
design_ux,HTML,191,39,46,130350,-9.0
design_ux,CSS,198,38,47,127750,-10.9
devops,Distributed Systems,168,23,35,187000,36.0
devops,Prometheus,152,23,29,175000,27.3
devops,Grafana,157,20,27,161915,17.8
devops,Machine Learning,203,34,55,161509,17.5
devops,C++,420,52,117,158750,15.5
devops,Kubernetes,873,105,188,157500,14.5
devops,GCP,281,50,68,155870,13.4
devops,MATLAB,367,40,120,153250,11.5
devops,Microservices,144,21,30,153275,11.5
devops,Python,1542,159,364,152500,10.9
devops,Terraform,806,105,186,152500,10.9
devops,MySQL,129,21,28,152500,10.9
devops,CI/CD,708,90,146,152375,10.8
devops,Java,614,60,108,152250,10.7
devops,Jira,471,43,123,150000,9.1
devops,Docker,660,86,149,149125,8.5
devops,Unix,315,39,68,148550,8.0
devops,Ruby,223,27,44,148555,8.0
devops,Bash,529,74,115,148402,7.9
devops,Ansible,655,80,152,147875,7.5
devops,DevOps,1190,122,248,147250,7.1
devops,GitLab,240,32,49,147250,7.1
devops,AWS,1195,143,293,146558,6.6
devops,Kafka,121,25,28,145600,5.9
devops,Jenkins,553,59,100,145300,5.7
devops,JavaScript,281,42,59,145150,5.6
devops,Linux,1177,124,248,145050,5.5
devops,GitHub,336,41,61,145000,5.5
