role,skill_name,jobs,share_pct
2nd line service desk engineer,Windows,5,45.5
2nd line service desk engineer,Azure,5,45.5
2nd line service desk engineer,Active Directory,2,18.2
2nd line service desk engineer,Firewalls,2,18.2
2nd line service desk engineer,VMware,1,9.1
5g software engineer,Linux,11,100.0
6k8ci3 systems engineer,SQL,2,20.0
6k8ci3 systems engineer,Oracle,2,20.0
6k8ci3 systems engineer,System Design,2,20.0
6k8ci3 systems engineer,MySQL,1,10.0
6k8ci3 systems engineer,Excel,1,10.0
6k8ci3 systems engineer,Jira,1,10.0
6k8ci3 systems engineer,Jenkins,1,10.0
6k8ci3 systems engineer,Git,1,10.0
6k8ci3 systems engineer,DevOps,1,10.0
6k8ci3 systems engineer,HTML,1,10.0
6k8ci3 systems engineer,Tableau,1,10.0
6k8ci3 systems engineer,jQuery,1,10.0
6k8ci3 systems engineer,CI/CD,1,10.0
6k8ci3 systems engineer,CSS,1,10.0
6k8ci3 systems engineer,Azure,1,10.0
account executive,Cybersecurity,3,13.0
account executive,Machine Learning,1,4.3
account executive,Risk Management,1,4.3
account executive,SAP,1,4.3
account executive,Segment,1,4.3
account executive,Excel,1,4.3
actimize developer,SQL,14,73.7
actimize developer,Oracle,14,73.7
actimize developer,Unix,10,52.6
actimize developer,Java,8,42.1
actimize developer,Jira,7,36.8
actimize developer,Linux,7,36.8
actimize developer,Windows,6,31.6
actimize developer,ETL,5,26.3
actimize developer,.NET,5,26.3
actimize developer,Informatica,3,15.8
actimize developer,XML,1,5.3
actimize developer,JSON,1,5.3
actimize developer,CSS,1,5.3
actimize developer,HTML,1,5.3
active directory security engineer,AWS,16,100.0
active directory security engineer,Active Directory,16,100.0
active directory security engineer,Azure,16,100.0
active directory security engineer,Excel,1,6.2
adaptive threat replication engineer,Penetration Testing,10,100.0
adaptive threat replication engineer,Burp Suite,9,90.0
advanced software engineer,Software Architecture,4,36.4
advanced software engineer,Kubernetes,3,27.3
advanced software engineer,Jenkins,3,27.3
advanced software engineer,CI/CD,3,27.3
advanced software engineer,Docker,3,27.3
advanced software engineer,GitLab,3,27.3
advanced software engineer,AWS,3,27.3
advanced software engineer,Terraform,3,27.3
advanced software engineer,Ansible,3,27.3
advanced software engineer,C++,3,27.3
advanced software engineer,SQL,1,9.1
advanced software engineer,Linux,1,9.1
advanced software engineer,Windows,1,9.1
advanced systems engineer,System Design,5,45.5
advanced systems engineer,Oracle,2,18.2
advanced systems engineer,Risk Management,1,9.1
advanced systems engineer,Python,1,9.1
advanced systems engineer,MATLAB,1,9.1
aem developer,Java,15,71.4
aem developer,JavaScript,10,47.6
aem developer,HTML,9,42.9
aem developer,CSS,8,38.1
aem developer,XML,5,23.8
aem developer,React,5,23.8
aem developer,DevOps,5,23.8
aem developer,JSON,4,19.0
aem developer,Spring,3,14.3
aem developer,Angular,3,14.3
aem developer,Jenkins,3,14.3
aem developer,jQuery,3,14.3
aem developer,AWS,2,9.5
aem developer,REST API,2,9.5
aem developer,Unit Testing,2,9.5
aerospace systems engineer,Prototyping,3,16.7
aerospace systems engineer,Excel,3,16.7
aerospace systems engineer,Unix,1,5.6
aerospace systems engineer,Linux,1,5.6
agile business analyst,Jira,3,23.1
agile business analyst,DevOps,1,7.7
agile business analyst,Excel,1,7.7
agile business analyst,Data Analysis,1,7.7
ai engineer,Machine Learning,14,60.9
ai engineer,Deep Learning,6,26.1
ai engineer,Python,6,26.1
ai engineer,C++,5,21.7
ai engineer,AWS,5,21.7
ai engineer,Azure,4,17.4
ai engineer,TensorFlow,3,13.0
ai engineer,PyTorch,2,8.7
ai engineer,NLP,2,8.7
ai engineer,Prototyping,1,4.3
ai engineer,SageMaker,1,4.3
ai engineer,Hugging Face,1,4.3
ai engineer,SQL,1,4.3
ai engineer,NoSQL,1,4.3
ai engineer,.NET,1,4.3
ai research scientist,Machine Learning,10,66.7
ai research scientist,Big Data,5,33.3
ai research scientist,Data Analysis,4,26.7
ai research scientist,Deep Learning,3,20.0
ai research scientist,NLP,3,20.0
ai research scientist,Fine-tuning,2,13.3
ai research scientist,AI Agents,2,13.3
ai research scientist,PyTorch,1,6.7
ai research scientist,C++,1,6.7
ai research scientist,Python,1,6.7
analytics engineer,Machine Learning,5,20.8
analytics engineer,SQL,5,20.8
analytics engineer,Python,4,16.7
analytics engineer,Data Pipeline,3,12.5
analytics engineer,ETL,3,12.5
analytics engineer,Microsoft Fabric,3,12.5
analytics engineer,Dynamics 365,3,12.5
analytics engineer,Azure,3,12.5
analytics engineer,Tableau,3,12.5
analytics engineer,Google Analytics,2,8.3
analytics engineer,dbt,2,8.3
analytics engineer,Snowflake,2,8.3
analytics engineer,Data Visualization,2,8.3
analytics engineer,Data Modeling,2,8.3
analytics engineer,Excel,1,4.2
android developer,Kotlin,56,81.2
android developer,Java,40,58.0
android developer,Git,26,37.7
android developer,JSON,10,14.5
android developer,Jira,8,11.6
android developer,Unit Testing,7,10.1
android developer,Agile / Scrum,6,8.7
android developer,Jenkins,5,7.2
android developer,Confluence,5,7.2
android developer,CI/CD,4,5.8
android developer,SQL,4,5.8
android developer,C++,4,5.8
android developer,JavaScript,4,5.8
android developer,Python,3,4.3
android developer,DevOps,3,4.3
angular developer,Angular,38,100.0
angular developer,TypeScript,21,55.3
angular developer,CSS,18,47.4
angular developer,JavaScript,18,47.4
angular developer,HTML,15,39.5
angular developer,Git,13,34.2
angular developer,SQL,13,34.2
angular developer,Java,11,28.9
angular developer,React,6,15.8
angular developer,Node.js,6,15.8
angular developer,JSON,6,15.8
angular developer,DevOps,5,13.2
angular developer,AWS,5,13.2
angular developer,Oracle,5,13.2
angular developer,XML,4,10.5
antenna test engineer,Data Analysis,4,30.8
api developer,Microservices,6,60.0
api developer,AWS,5,50.0
api developer,Kafka,4,40.0
api developer,Git,4,40.0
api developer,Kubernetes,3,30.0
api developer,NoSQL,3,30.0
api developer,Jenkins,3,30.0
api developer,CI/CD,3,30.0
api developer,Docker,3,30.0
api developer,Splunk,3,30.0
api developer,GitHub,3,30.0
api developer,SQL,2,20.0
api developer,Unit Testing,2,20.0
api developer,Agile / Scrum,2,20.0
api developer,Azure,2,20.0
appian developer,Java,8,34.8
appian developer,SQL,7,30.4
appian developer,JavaScript,4,17.4
appian developer,Spring,3,13.0
appian developer,DevOps,3,13.0
appian developer,Data Modeling,3,13.0
appian developer,AWS,2,8.7
appian developer,React,2,8.7
appian developer,Angular,2,8.7
appian developer,Oracle,2,8.7
appian developer,Jira,1,4.3
appian developer,Unit Testing,1,4.3
appian developer,Microservices,1,4.3
appian developer,.NET,1,4.3
appian developer,Hadoop,1,4.3
application developer,SQL,68,43.6
application developer,.NET,54,34.6
application developer,JavaScript,39,25.0
application developer,HTML,32,20.5
application developer,AWS,29,18.6
application developer,Java,29,18.6
application developer,React,28,17.9
application developer,CSS,27,17.3
application developer,Azure,26,16.7
application developer,XML,24,15.4
application developer,Angular,22,14.1
application developer,Unit Testing,20,12.8
application developer,DevOps,18,11.5
application developer,Node.js,17,10.9
application developer,jQuery,16,10.3
application engineer,Java,2,5.9
application engineer,Kubernetes,2,5.9
application engineer,React,2,5.9
application engineer,JavaScript,2,5.9
application engineer,System Design,2,5.9
application engineer,Agile / Scrum,2,5.9
application engineer,Angular,2,5.9
application engineer,TypeScript,2,5.9
application engineer,CI/CD,1,2.9
application engineer,Swift,1,2.9
application engineer,Git,1,2.9
application engineer,HTML,1,2.9
application engineer,CSS,1,2.9
application engineer,Kanban,1,2.9
application engineer,MongoDB,1,2.9
application security engineer,Penetration Testing,5,35.7
application security engineer,Cybersecurity,3,21.4
application security engineer,Java,3,21.4
application security engineer,OWASP,3,21.4
application security engineer,Python,3,21.4
application security engineer,CI/CD,2,14.3
application security engineer,JavaScript,2,14.3
application security engineer,Jenkins,2,14.3
application security engineer,Git,2,14.3
application security engineer,PowerShell,2,14.3
application security engineer,Docker,2,14.3
application security engineer,HTML,1,7.1
application security engineer,Incident Response,1,7.1
application security engineer,CSS,1,7.1
application security engineer,AWS,1,7.1
application software engineer,MATLAB,2,18.2
application software engineer,C++,2,18.2
application software engineer,React,1,9.1
application software engineer,Java,1,9.1
application software engineer,.NET,1,9.1
application software engineer,Linux,1,9.1
application software engineer,Git,1,9.1
applications developer,SQL,21,51.2
applications developer,.NET,12,29.3
applications developer,JavaScript,11,26.8
applications developer,Java,10,24.4
applications developer,Azure,8,19.5
applications developer,Angular,8,19.5
applications developer,DevOps,7,17.1
