role,role_label,job_family,postings,companies,median_salary,salary_companies,pct_senior_or_above,pct_flexible_when_stated,pct_stated_worksite,top_skills,example_title,example_company,description,summary
software engineer,Software Engineer,engineering,6201,1651,159750.0,358,86.7,76.9,30.1,"Java, Python, SQL, AWS, JavaScript, TypeScript",Senior Software Engineer,Jobs for Humanity,"Company Description
Jobs for Humanity is partnering with Capital One to build an inclusive and just employment ecosystem. Therefore, we prioritize individuals coming from the following communities: Refugee, Neurodivergent, Single Parent, Blind or Low Vision, Deaf or Hard of Hearing, Black, Hispanic, Asian, Military Veterans, the Elderly, the LGBTQ, and Justice Impacted individuals. This position is open to candidates who reside in and have the legal right to work in the country where the job is located.
Company Name: Capital One
Job Description
Job Title: Senior Software Engineer Location: McLean, Virginia, United States of America Do you have a passion for technology and solving complex problems? Capital One is looking for Back End Software Engineers who are eager to use data and emerging technologies to create innovative solutions. As a Software Engineer at Capital One, you will be at the forefront of driving a major transformation within the company. Responsibilities: - Collaborate with Agile teams to design, develop, test, implement, and support technical solutions using full-stack development tools and technologies. - Stay up to date with technology trends, experiment with new","Software Engineer postings typically ask you to: Design, code, test, debug, and document for projects and programs. Collaborate and consult with key technical experts, senior technology team, and external industry groups to resolve complex technical issues and achieve goals. Lead projects, teams, or serve as a peer mentor. Write technical specifications based on conceptual design and stated business requirements."
business analyst,Business Analyst,product,2337,1119,97735.0,173,28.0,64.5,34.9,"Excel, SQL, Data Analysis, Jira, Power BI, Tableau",Business Analyst,Diverse Lynx,"Role: Business Analyst
Mount Laurel, New Jersey
Job type: Full time
Play the role of a Business Analyst for project(s)/work stream(s) within Wealth Management
End to end delivery of book of work within the assigned project(s)/work stream(s), in agile methodology
Requirements Engineering involving analyzing problem at hand, writing user stories and other documents, walkthrough of requirements for development and testing team, assisting business in UAT and act as a single point of contact for business stakeholders
Liaise with business, other vendor teams and stakeholders
Play a key role in ensuring delivery is on time and of high quality as per agreed SLAs
Expected to be part of complex, large scale project or medium complex program
Job Details:
Domain Experience
Relevant business analysis experience within Investment Banking/ Wealth Management
Understanding of the products – Advisory, Brokerage, Banking, Credit, Insurance, Trust, etc.
KYC, AML and customer onboarding
Understanding of Trade Operations i.e. Straight through Processing, Order Management Systems etc.
Business Analysis Experience
Experience of writing user stories, business requirements, presentations to explain and disc","Business Analyst postings typically ask you to: Assist with business warehouse/intelligence support and enhancements. Lead the development of business process modelling for a diverse and complex set of business areas. Manage Stakeholder expectations, influence conflict resolution and prepare periodic reports and presentations to inform the stakeholder and improve stakeholder relations. Provide input into data capture required to enhance business intelligence reporting."
systems engineer,Systems Engineer,devops,1785,645,135000.0,119,78.5,48.5,31.7,"System Design, Windows, Cybersecurity, VMware, Linux, Active Directory",Systems Engineer Lead (Advanced Career-Level) with Security Clearance,ClearanceJobs,"Description:What We're Doing At Training and Logistics Solutions (TLS) Integrated Engineering, we are dedicated to transforming sustainment and training solutions to ensure our customers' mission success. Our focus lies in fostering a culture of speed, agility, affordability, and innovation through disruptive technologies. We are committed to building a talented team that can reimagine the future of mission readiness. The Work As a Systems Engineer Lead, you will:
Support the Program Systems Engineering Lead and sub-discipline architects in establishing a highly customized functional and physical system design and architecture
Perform system architecture analysis using tools like Rhapsody and Cameo to assess and capture system use cases, interfaces, timing, and designs.
Define the MBSE strategy to align with future business capture opportunities and will marshal resources across the program's Engineering & Technology organization to transition the product line
Support the Configuration Design Management (CDM) team in the design release streams across the product line.
Work with a team of system engineers and interdisciplinary subject matter experts to analyze and document the syste","Systems Engineer postings typically ask you to: Ensure the logical and systematic conversion of customer or product requirements into total systems solutions that acknowledge technical, schedule, and cost constraints. Manage and document system configurations. Provide technical leadership for the integration of requirements, design, and technology. Develop technical documentation."
network engineer,Network Engineer,network_infra,1579,587,124800.0,87,69.9,49.8,26.0,"Firewalls, Azure, AWS, VMware, Windows, Cybersecurity",Network Engineer,Epic,"We are looking for an exceptional Network Engineer to join our multi-tenant hosting team. You'll be instrumental in deploying, operating, and scaling a high-performance network that provides world-class availability, performance, and security. With this position comes a host (pun intended) of interesting and challenging issues that will test your technical prowess and call for clever, well-designed solutions.
You’ll provide network support within a small, collaborative team that is changing the way some of the nation’s largest healthcare organizations access our software. You’ll keep abreast of the latest technologies in a hands-on role that also provides a unique opportunity to shape the future direction and design of our systems while working directly with our customers through issues that arise. The ideal candidate is passionate about technology and the opportunity to play a foundational role in a new team, is self-motivated, and has great communication skills. Learn more about the team at https //careers.epic.com/Jobs/Hosting.
As a member of the Hosting team at Epic you'll be responsible for the confidentiality, integrity, and availability of Epic Hosting. Those responsibilitie","Network Engineer postings typically ask you to: Install, maintain and evaluate network systems and communications systems. Troubleshoot and resolve complex network issues involving various protocols, topologies, networking hardware, etc. Conduct network architecture design, feasibility and cost studies. Analyze network efficiency by conducting network tests and running diagnostics to forecast performance thresholds."
data engineer,Data Engineer,data,1170,501,150000.0,100,78.5,74.4,32.1,"Python, SQL, ETL, Java, Scala, Snowflake",Senior Data Engineer,Jobs for Humanity,"Job Description
Position: Senior Data Engineer
Location: Plano, Texas (United States of America)
Do you enjoy working in the technology space? Are you passionate about solving complex business problems in a collaborative and inclusive environment? At Capital One, we are a diverse group of makers, breakers, and disruptors who are committed to solving real problems and meeting the needs of our customers. We are currently seeking Data Engineers who are passionate about leveraging data with emerging technologies. As a Data Engineer at Capital One, you will have the opportunity to be at the forefront of driving a major transformation within our company.
What You'll Do
Collaborate with Agile teams to design, develop, test, implement, and support technical solutions using full-stack development tools and technologies.
Work with a team of developers experienced in machine learning, distributed microservices, and full-stack systems.
Utilize programming languages like Java, Scala, Python, and databases like RDBMS and NoSQL. Familiarity with cloud-based data warehousing services such as Redshift and Snowflake is a plus.
Stay up-to-date with tech trends, experiment with new technologies, parti","Data Engineer postings typically ask you to: Build processes supporting data transformation, data structures, metadata, dependency, and workload management. Build the infrastructure required for optimal extraction, transformation, and loading of data from a wide variety of data sources. Create and contribute to the automation of essential processes related to infrastructure solution deployment, creating repeatable and robust deployments. Perform advanced data transformation activities using Informatica, PL/SQL, Oracle Database tuning, SQL tuning, and Informatica Server administration."
data analyst,Data Analyst,data,812,462,115000.0,84,58.1,68.5,30.9,"SQL, Data Analysis, Tableau, Python, Excel, Data Visualization",Senior Data Analyst / Full-time (Remote),Staffinggroup,"Company Profile
Note: After Applying , Check your email Inbox or Spam Folder For Next Steps.
Important : After Applying , Check Inbox or Spam Folder For Next Steps.
The Lead Data Analyst will work with our Data Analytics & Insights team at our Corporate office located in Langley . They will be responsible for ensuring master data integrity in key business systems as well as maintaining the processes that support the data quality.
Key Responsibilities & Duties
Work with our internal data architecture team optimizing data structure and flow through reporting
Integrate disparate data sources for use in reporting
Build and structure datasets for use in analytical reports
Build analytical displays in partnership with analytics team and internal departments
Integrate analysis framework of users (or self where applicable) into reporting to improve decision making continuity and provide insights
Provide data insights and solutions to company leadership to help drive decision-making
Qualifications
Proficient in SQL and Python
Confident in business intelligence platforms such as Microsoft Power BI, Tableau, Alteryx, etc.
Capacity to multi-task in a fast-paced startup environment
Undergrad de","Data Analyst postings typically ask you to: Identify, analyze, and interpret trends or patterns in complex data sets. Support regular ad-hoc data querying and in-depth analyses to better understand customer behavior. Support teams in running growth programs and A/b tests through analyzing results and communicating insights. Conduct exploratory data analysis to answer business questions that help inform decision-making."
product manager,Product Manager,product,758,429,158080.0,107,96.8,77.9,19.1,"Segment, User Research, Machine Learning, Excel, Data Analysis, AWS",Senior Product Manager - Technical,Amazon,"Description
We are looking for technical product leaders who want to build high-quality products and services and help scale up big business segments in the security space. If you are looking for a high ownership position working on delivering a strategic new vision through software, hardware, and AI/ML, this job is for you!
Key job responsibilities
Lead the development and execution of a bold customer-focused product strategy and vision for the next generation of devices and services
Lead initiatives in various stages of the lifecycle - from ideation to development to launch
Define creative, high quality, long term product roadmaps based on team strategy and vision
Develop detailed, crisp business requirements and user stories that can be used to create product specifications and architecture
Manage prioritization and trade-offs among customer experience, performance and operational load
Proactively identify and resolve issues that may impair the team’s ability to meet strategic, financial, and technical goals
Drive decision making and product launches in partnership with Engineering, UX, Operations, Business Development, Go to Market, PR, Legal, Finance, and other cross-functiona","Product Manager postings typically ask you to: Lead development of growth strategies for Masoneilan, Becker, Mooney and Consolidated instrumentation products. Create, manage, and prioritize program backlog and plan Product Increments. Develop, implement, and maintain production timelines across multiple departments. Define, measure, and manage product risk."
systems administrator,Systems Administrator,network_infra,709,403,95819.0,75,23.4,36.4,32.2,"Windows, Active Directory, VMware, Linux, Azure, Firewalls",System Administrator,United Enertech Corp.,"Job Summary:
At United Enertech, our success depends on IT systems. We are currently seeking an experienced Systems Administrator who is driven to grow and implement systems and networks to accommodate company growth. This person will protect our critical systems and assets, build solutions, implement new software and hardware, provide training, and assist in developing the overall IT strategy. He or she will take on challenging assignments, lead initiatives, and be responsible for results. The ideal candidate is passionate about applying skills and expertise to provide cost-effect solutions to meet business requirements.
Objectives of this role:
Maintain essential IT infrastructure, including operating systems, security tools, applications, servers, email systems, laptops, desktops, software, and hardware.
Take responsibility for projects and solutions within the larger business initiative.
Handle business-critical IT tasks and systems that allow the business to operate effectively.
Enable faster and smarter business processes and develop analytics for meaningful insights.
Work with internal and external partners to communicate project status, activities, and achievements.
Accompl","Systems Administrator postings typically ask you to: Develop and maintain installation and configuration procedures in accordance with contract and DoD standards. Configure, support, and perform backup operations as needed to include the creation of backup policies and schedules. Analyze site communications requirements and recommend equipment solutions. Identify innovative techniques to enhance application security in sustaining base and tactical net-centric operational environments."
software developer,Software Developer,engineering,647,396,120360.0,56,73.9,67.7,35.9,"Java, SQL, .NET, JavaScript, Python, C++",Senior Software Developer,Tecolote Research,"Overview
We are seeking a Senior Software Developer to join our team and work with us on the systems that support our company. If you are passionate about software development and want to make a difference where you work, then this is the position for you.
Responsibilities
Own projects cross functionally/across teams
Takes on the most challenging development projects. Identifies and proactively tackles these major challenges.
Leads adoption of new tools, methodologies, and systems.
Gives guidance, unblocks others, and may function as team lead
May function as a team or segment lead
Mentors more junior developers
Follow standard software development life cycle processes
Develop, test and maintain enterprise applications
Design and implement complex enterprise applications
Continuously innovate and modernize applicable software development technologies and trends
Perform code reviews
Create and maintain appropriate documentation
Communicate effectively with operational teams with complex software concepts
Translate technical requirements, develop application interface
Manage time in a deadline-driven, team environment
May supervise staff
Perform other duties as assigned
Skills Requir",Software Developer postings typically ask you to: Work with customer to develop software requirements. Design software following defined architectures. Implement and unit test software. Build knowledge using CMake.
data scientist,Data Scientist,ai,585,361,170700.0,80,67.2,53.8,26.7,"Machine Learning, Python, SQL, Data Analysis, Statistical Analysis, Deep Learning",Sr. Data Scientist,LaSalle Network,"Job Description
Want to grow your career with one of the fastest growing industries? LaSalle Network is partnered with a top Chicago-based client looking to hire a
Sr. Data Scientist
their team.
The
Sr. Data Scientist
will be responsible for delivering strategic and tangible solutions through data. We are looking for self-starters that have the ability to work cross-functionally across various teams.
Sr. Data Scientist Responsibilities:
Build and maintain machine learning models used throughout the investment process
Leverage various datasets to deliver internal insights and feed machine learning models
Learn from a wide variety of engineers who are passionate about building great software
Shape the future of software engineering at the company by bringing your ideas on improving and automating current processes
Work with stakeholders throughout the organization to identify opportunities for leveraging company data to drive business solutions
Mine and analyze data from company databases to drive optimization and improvement of product development, marketing techniques and business strategies
Assess the effectiveness and accuracy of new data sources and data gathering techniques
Dev","Data Scientist postings typically ask you to: Develop, maintain, and utilize the firm's data, data integrations, and data science tools to help produce business insights and support project initiatives. Work leadership may be provided by assigning work and resolving problems. Work with us as we use data science for good. Prepare resulting data to facilitate analysis of results."
