skill_a,skill_b,cooccur,meaning,relation
PyTorch,TensorFlow,0.851,1.0,substitutes
NumPy,Pandas,0.786,0.493,complements
Docker,Kubernetes,0.775,0.533,complements
CSS,HTML,0.738,0.739,complements
HTML,JavaScript,0.677,0.596,complements
Hadoop,Spark,0.626,0.664,complements
Grafana,Prometheus,0.607,0.64,complements
Hadoop,Hive,0.602,0.621,complements
Confluence,Jira,0.583,0.478,complements
CSS,JavaScript,0.555,0.61,complements
AWS,GCP,0.544,1.0,substitutes
Azure,GCP,0.524,1.0,substitutes
Deep Learning,TensorFlow,0.504,0.456,complements
Deep Learning,PyTorch,0.501,0.456,complements
JSON,XML,0.488,0.847,substitutes
Django,Flask,0.487,0.88,substitutes
Ansible,Terraform,0.485,0.606,complements
Power BI,Tableau,0.482,0.824,substitutes
Kotlin,Swift,0.477,0.691,complements
Cassandra,Hive,0.475,0.449,complements
Data Visualization,Tableau,0.472,0.642,complements
AWS,Azure,0.47,1.0,substitutes
Scala,Spark,0.465,0.436,complements
AWS,Docker,0.464,0.26,complements
Go,Kubernetes,0.46,0.35,complements
AWS,Kubernetes,0.457,0.421,complements
JavaScript,TypeScript,0.457,0.65,complements
Redshift,Snowflake,0.454,0.947,substitutes
Java,Python,0.454,0.668,complements
Hive,Spark,0.45,0.532,complements
.NET,C#,0.448,0.701,complements
Active Directory,Windows,0.447,0.48,complements
Python,SQL,0.446,0.448,complements
JavaScript,React,0.442,0.478,complements
Cassandra,Kafka,0.441,0.46,complements
Jupyter,MLflow,0.441,0.312,complements
Spring,Spring Boot,0.439,0.534,complements
Data Analysis,Data Visualization,0.434,0.311,complements
AWS,Java,0.423,0.258,complements
Cassandra,Hadoop,0.42,0.524,complements
Docker,Go,0.419,0.383,complements
AWS,Python,0.417,0.304,complements
Kafka,Spark,0.416,0.471,complements
Agile / Scrum,Java,0.413,0.213,complements
Java,NoSQL,0.411,0.214,complements
React,TypeScript,0.411,0.536,complements
LangChain,Vector Databases,0.409,0.303,complements
Deep Learning,Machine Learning,0.408,0.373,complements
Jupyter,NumPy,0.403,0.164,complements
Hive,Redshift,0.401,0.51,complements
Docker,NoSQL,0.399,0.029,complements
Go,Python,0.399,0.68,complements
R,Tableau,0.398,0.369,complements
Data Visualization,Power BI,0.396,0.491,complements
Angular,React,0.396,0.486,complements
Kubernetes,NoSQL,0.395,0.12,complements
C,C++,0.394,0.801,substitutes
HTML,TypeScript,0.394,0.454,complements
AWS,NoSQL,0.392,0.356,complements
Machine Learning,Python,0.392,0.238,complements
