clean_title,skill_name,jobs,share_pct
/ software engineer,Java,4,16.7
/ software engineer,Microservices,4,16.7
/ software engineer,C++,3,12.5
/ software engineer,Angular,3,12.5
/ software engineer,SQL,3,12.5
/ software engineer,Spring,2,8.3
/ software engineer,AWS,2,8.3
/ software engineer,Python,2,8.3
/ software engineer,Spring Boot,2,8.3
/ software engineer,Big Data,2,8.3
/ software engineer,GCP,2,8.3
/ software engineer,Unit Testing,2,8.3
/ software engineer,Kafka,2,8.3
/ software engineer,JavaScript,2,8.3
/ software engineer,Distributed Systems,2,8.3
/ systems engineer,MATLAB,2,10.5
account executive,Cybersecurity,2,22.2
account executive,Machine Learning,1,11.1
account executive,SAP,1,11.1
account executive,Risk Management,1,11.1
account executive,Excel,1,11.1
aem developer,Java,11,64.7
aem developer,JavaScript,10,58.8
aem developer,HTML,9,52.9
aem developer,CSS,8,47.1
aem developer,XML,5,29.4
aem developer,React,5,29.4
aem developer,DevOps,4,23.5
aem developer,Spring,3,17.6
aem developer,Angular,3,17.6
aem developer,JSON,3,17.6
aem developer,jQuery,3,17.6
aem developer,AWS,2,11.8
aem developer,REST API,2,11.8
aem developer,Unit Testing,2,11.8
aem developer,Microservices,2,11.8
ai engineer,Machine Learning,11,61.1
ai engineer,Deep Learning,6,33.3
ai engineer,C++,3,16.7
ai engineer,Python,3,16.7
ai engineer,TensorFlow,3,16.7
ai engineer,Azure,2,11.1
ai engineer,AWS,2,11.1
ai engineer,PyTorch,2,11.1
ai engineer,NLP,2,11.1
ai engineer,Prototyping,1,5.6
ai engineer,SageMaker,1,5.6
ai engineer,Hugging Face,1,5.6
ai engineer,NoSQL,1,5.6
ai engineer,SQL,1,5.6
ai engineer,.NET,1,5.6
analytics engineer,SQL,5,22.7
analytics engineer,Machine Learning,4,18.2
analytics engineer,Data Pipeline,3,13.6
analytics engineer,Azure,3,13.6
analytics engineer,Python,3,13.6
analytics engineer,Microsoft Fabric,3,13.6
analytics engineer,Dynamics 365,3,13.6
analytics engineer,Google Analytics,2,9.1
analytics engineer,ETL,2,9.1
analytics engineer,Snowflake,2,9.1
analytics engineer,dbt,2,9.1
analytics engineer,Tableau,2,9.1
analytics engineer,Data Modeling,2,9.1
analytics engineer,Unit Testing,1,4.5
analytics engineer,Excel,1,4.5
android developer,Kotlin,54,81.8
android developer,Java,38,57.6
android developer,Git,25,37.9
android developer,JSON,9,13.6
android developer,Jira,7,10.6
android developer,Unit Testing,7,10.6
android developer,Agile / Scrum,6,9.1
android developer,Jenkins,5,7.6
android developer,CI/CD,4,6.1
android developer,Confluence,4,6.1
android developer,SQL,4,6.1
android developer,C++,4,6.1
android developer,Python,4,6.1
android developer,JavaScript,4,6.1
android developer,DevOps,3,4.5
angular developer,Angular,35,100.0
angular developer,TypeScript,19,54.3
angular developer,CSS,17,48.6
angular developer,JavaScript,17,48.6
angular developer,HTML,14,40.0
angular developer,Git,12,34.3
angular developer,SQL,12,34.3
angular developer,Java,11,31.4
angular developer,React,6,17.1
angular developer,Node.js,6,17.1
angular developer,JSON,6,17.1
angular developer,AWS,5,14.3
angular developer,DevOps,5,14.3
angular developer,Oracle,5,14.3
angular developer,XML,4,11.4
appian developer,Java,8,38.1
appian developer,SQL,6,28.6
appian developer,JavaScript,4,19.0
appian developer,Spring,3,14.3
appian developer,DevOps,3,14.3
appian developer,Data Modeling,3,14.3
appian developer,AWS,2,9.5
appian developer,React,2,9.5
appian developer,Angular,2,9.5
appian developer,Oracle,2,9.5
appian developer,Jira,1,4.8
appian developer,Unit Testing,1,4.8
appian developer,Microservices,1,4.8
appian developer,Hadoop,1,4.8
appian developer,.NET,1,4.8
application developer,SQL,52,41.6
application developer,.NET,40,32.0
application developer,JavaScript,24,19.2
application developer,Java,23,18.4
application developer,Angular,18,14.4
application developer,HTML,18,14.4
application developer,CSS,17,13.6
application developer,Azure,16,12.8
application developer,DevOps,16,12.8
application developer,AWS,14,11.2
application developer,React,14,11.2
application developer,XML,11,8.8
application developer,jQuery,11,8.8
application developer,Git,11,8.8
application developer,Oracle,11,8.8
application engineer,Java,2,6.9
application engineer,Kubernetes,2,6.9
application engineer,JavaScript,2,6.9
application engineer,React,2,6.9
application engineer,System Design,2,6.9
application engineer,Agile / Scrum,2,6.9
application engineer,TypeScript,2,6.9
application engineer,Angular,2,6.9
application engineer,CI/CD,1,3.4
application engineer,Swift,1,3.4
application engineer,Git,1,3.4
application engineer,CSS,1,3.4
application engineer,HTML,1,3.4
application engineer,Kanban,1,3.4
application engineer,MongoDB,1,3.4
applications developer,SQL,20,50.0
applications developer,.NET,13,32.5
applications developer,JavaScript,10,25.0
applications developer,Azure,9,22.5
applications developer,Java,9,22.5
applications developer,Angular,8,20.0
applications developer,DevOps,8,20.0
applications developer,HTML,5,12.5
applications developer,React,5,12.5
applications developer,Vue,5,12.5
applications developer,CSS,4,10.0
applications developer,TypeScript,4,10.0
applications developer,Git,4,10.0
applications developer,AWS,4,10.0
applications developer,Linux,4,10.0
automation engineer,SQL,23,8.9
automation engineer,Java,16,6.2
automation engineer,Python,14,5.4
automation engineer,System Design,13,5.0
automation engineer,CI/CD,12,4.6
automation engineer,Excel,10,3.9
automation engineer,Windows,10,3.9
automation engineer,Linux,9,3.5
automation engineer,Jenkins,9,3.5
automation engineer,Git,8,3.1
automation engineer,.NET,8,3.1
automation engineer,PowerShell,7,2.7
automation engineer,Azure,7,2.7
automation engineer,JavaScript,7,2.7
automation engineer,C++,7,2.7
automation tester,Java,29,49.2
automation tester,Jenkins,11,18.6
automation tester,Jira,10,16.9
automation tester,Python,10,16.9
automation tester,SQL,7,11.9
automation tester,DevOps,6,10.2
automation tester,CI/CD,6,10.2
automation tester,Agile / Scrum,5,8.5
automation tester,JavaScript,5,8.5
automation tester,Git,4,6.8
automation tester,GitHub,4,6.8
automation tester,Confluence,4,6.8
automation tester,Spring,4,6.8
automation tester,Spring Boot,4,6.8
automation tester,Windows,3,5.1
azure cloud engineer,Azure,20,100.0
azure cloud engineer,PowerShell,6,30.0
azure cloud engineer,Terraform,5,25.0
azure cloud engineer,Windows,5,25.0
azure cloud engineer,DevOps,5,25.0
azure cloud engineer,Active Directory,4,20.0
azure cloud engineer,VMware,3,15.0
azure cloud engineer,Kubernetes,3,15.0
azure cloud engineer,AWS,2,10.0
azure cloud engineer,.NET,2,10.0
azure cloud engineer,Big Data,2,10.0
azure cloud engineer,Python,2,10.0
azure cloud engineer,Bash,2,10.0
azure cloud engineer,Java,2,10.0
azure cloud engineer,Jenkins,2,10.0
azure data engineer,Azure,20,100.0
azure data engineer,SQL,13,65.0
azure data engineer,Databricks,11,55.0
azure data engineer,ETL,6,30.0
azure data engineer,Power BI,6,30.0
azure data engineer,DevOps,6,30.0
azure data engineer,Python,5,25.0
azure data engineer,Spark,4,20.0
azure data engineer,CI/CD,4,20.0
azure data engineer,Data Modeling,3,15.0
azure data engineer,PowerShell,3,15.0
azure data engineer,Data Warehousing,3,15.0
azure data engineer,Kafka,3,15.0
azure data engineer,Data Pipeline,3,15.0
azure data engineer,SSIS,2,10.0
backend developer,Java,20,43.5
backend developer,AWS,16,34.8
backend developer,Git,12,26.1
backend developer,Microservices,11,23.9
backend developer,Python,11,23.9
backend developer,CI/CD,10,21.7
backend developer,SQL,8,17.4
backend developer,Spring,8,17.4
backend developer,Node.js,8,17.4
backend developer,TypeScript,7,15.2
backend developer,Spring Boot,7,15.2
backend developer,Docker,7,15.2
backend developer,JavaScript,7,15.2
backend developer,DevOps,6,13.0
backend developer,PostgreSQL,5,10.9
backend engineer,AWS,23,33.8
backend engineer,Python,22,32.4
backend engineer,Microservices,14,20.6
backend engineer,Java,10,14.7
backend engineer,MySQL,10,14.7
backend engineer,Redis,9,13.2
backend engineer,Node.js,9,13.2
backend engineer,React,9,13.2
backend engineer,SQL,9,13.2
backend engineer,TypeScript,8,11.8
