skill,count,known
python,14819,True
sql,11992,True
communication,10769,False
java,9397,True
aws,8648,True
communication skills,7158,False
project management,7122,False
data analysis,6949,True
javascript,6434,True
problem solving,6402,False
agile,6262,True
troubleshooting,6152,False
teamwork,5887,False
software development,5840,False
software engineering,5762,False
collaboration,5451,False
computer science,5360,False
kubernetes,5177,True
problemsolving,5122,False
docker,4901,True
linux,4855,True
bachelor s degree,4660,False
machine learning,4573,True
analytical skills,4498,False
leadership,4486,False
azure,4389,True
git,4323,True
devops,4172,True
cloud computing,4037,False
c++,3831,True
jira,3584,True
attention to detail,3309,False
c#,3291,True
data visualization,3182,True
interpersonal skills,2948,False
documentation,2937,False
react,2882,True
go,2874,True
html,2862,True
css,2788,True
typescript,2787,True
customer service,2758,False
unit testing,2718,True
automation,2706,False
agile development,2690,True
engineering,2627,False
scrum,2626,True
business analysis,2614,False
time management,2550,False
testing,2541,False
jenkins,2448,True
security,2415,False
tableau,2380,True
systems engineering,2372,False
networking,2361,False
nosql,2345,True
microservices,2297,True
ci cd,2267,True
mentoring,2215,False
windows,2209,True
terraform,2201,True
problemsolving skills,2182,False
angular,2155,True
data science,2124,False
data modeling,2106,True
data analytics,2105,True
data engineering,2052,False
gcp,2038,True
electrical engineering,2034,False
risk management,2025,True
scala,1978,True
ansible,1968,True
cybersecurity,1903,True
debugging,1869,False
product management,1865,False
kafka,1849,True
data warehousing,1821,True
power bi,1812,True
node.js,1801,True
written communication,1774,False
reporting,1765,False
oracle,1738,True
r,1722,True
mysql,1715,True
network security,1712,False
adaptability,1711,False
spark,1701,True
business intelligence,1697,False
design,1672,False
training,1655,False
organizational skills,1644,False
powershell,1631,True
active directory,1626,True
sql server,1609,True
technical writing,1601,False
.net,1594,True
requirements gathering,1582,False
data management,1574,False
presentation skills,1551,False
multitasking,1548,False
critical thinking,1543,False
excel,1542,True
scripting,1528,False
confluence,1518,True
microsoft office suite,1497,False
hadoop,1481,True
dns,1481,False
master s degree,1470,False
quality assurance,1441,False
verbal communication,1437,False
software design,1427,False
software testing,1404,False
distributed systems,1404,True
continuous integration,1399,True
artificial intelligence,1391,False
tcp ip,1367,False
innovation,1356,False
microsoft azure,1348,True
etl,1315,True
statistics,1312,False
snowflake,1301,True
information technology,1284,False
change management,1281,False
objectoriented programming,1278,False
unix,1261,True
stakeholder management,1246,True
microsoft office,1240,False
programming,1240,False
agile methodologies,1239,True
postgresql,1239,True
prioritization,1231,False
data mining,1226,False
network engineering,1226,False
data structures,1225,False
vmware,1220,True
xml,1190,True
mongodb,1187,True
c,1183,True
incident response,1161,True
bash,1159,True
json,1148,True
data integration,1143,False
development,1143,False
team leadership,1143,False
software architecture,1143,True
rest,1125,True
github,1123,True
algorithms,1121,False
scalability,1096,False
data governance,1080,True
c c++,1079,True
firewalls,1077,True
agile practices,1049,True
databases,1039,False
agile methodology,1026,True
data security,1023,False
system design,1011,True
integration testing,1009,False
cissp,1001,True
information security,1000,True
technical support,993,False
mathematics,992,False
tensorflow,990,True
research,987,False
design patterns,986,False
computer engineering,986,False
decision making,985,False
integration,980,False
cyber security,978,True
big data,975,True
product development,974,False
u.s. citizenship,972,False
monitoring,965,False
open source frameworks,958,False
golang,953,True
prototyping,951,True
configuration management,949,False
analytical thinking,940,False
apis,939,False
relational databases,934,False
data pipelines,927,True
flexibility,923,False
matlab,921,True
web development,915,False
programming languages,910,False
analytics,908,False
pytorch,895,True
deployment,894,False
nosql databases,893,True
data quality,892,False
implementation,889,False
paid time off,888,False
system administration,888,False
integrity,886,False
splunk,885,True
crossfunctional collaboration,883,False
root cause analysis,882,False
technical documentation,882,False
team collaboration,869,False
azure devops,869,False
kanban,868,True
compliance,861,False
process improvement,861,False
analysis,852,False
coaching,847,False
html5,846,True
data architecture,844,False
sharepoint,844,False
google cloud,842,True
business requirements,837,False
operations,829,False
information systems,824,False
deep learning,822,True
virtualization,817,False
equal opportunity employer,815,False
embedded systems,814,False
web services,813,False
spring boot,811,True
jquery,807,True
people management,803,False
organization,797,False
hive,796,True
statistical analysis,794,True
confidentiality,794,False
life insurance,788,False
rdbms,787,False
dhcp,779,False
us citizenship,778,False
software,771,False
php,771,True
mechanical engineering,771,False
network troubleshooting,771,False
puppet,767,False
gitlab,765,True
optimization,759,False
robotics,757,False
computer vision,756,False
cassandra,756,True
servicenow,753,True
ruby,747,True
availability,745,False
figma,740,True
scheduling,737,False
system integration,736,False
open source rdbms,736,False
sdlc,733,False
technical leadership,726,False
cloud security,724,False
diversity,721,False
decisionmaking,721,False
selfmotivation,720,False
maintenance,718,False
html css,714,True
bgp,714,False
travel,705,False
full stack development,705,False
physics,703,False
coding,703,False
restful apis,699,True
operating systems,697,False
continuous improvement,695,False
planning,694,False
user stories,694,False
hardware,691,False
requirements analysis,691,False
risk assessment,690,False
security clearance,689,False
sales,688,False
architecture,686,False
version control,681,False
team player,681,False
creativity,679,False
routing,679,False
soap,678,False
ai,678,False
code reviews,675,False
salesforce,674,True
ccna,673,False
cloud technologies,668,False
finance,668,False
cloud services,667,False
data processing,666,False
perl,666,False
s3,665,False
continuous delivery,662,False
remote work,658,False
backend development,657,False
shell scripting,652,False
graphql,644,True
ospf,643,False
cloud,642,False
powerpoint,640,False
independent work,638,False
penetration testing,638,True
incident management,637,False
windows server,636,False
initiative,635,False
disaster recovery,635,False
network design,633,False
redshift,629,True
frontend development,624,False
manufacturing,621,False
maven,619,False
best practices,618,False
selenium,617,False
infrastructure as code,613,False
encryption,606,False
paid holidays,606,False
